_1,_2
"Chicago, IL",150.62987129040744
"Anchorage, AK",132.6985060991265
"Denver, CO",128.3426178033284
"Dallas/Fort Worth, TX",100.47431192719948
"Atlanta, GA",94.34599437717964
"Phoenix, AZ",92.18369521965845
"Houston, TX",90.59022044097568
"Bethel, AK",89.41941849671201
"Las Vegas, NV",86.97992226706295
"Fairbanks, AK",85.70120342848568
"Los Angeles, CA",83.60865152590253
"Seattle, WA",79.34676220610321
"Washington, DC",75.25619276608089
"Miami, FL",67.99074002054772
"Detroit, MI",66.19956630722405
"Orlando, FL",65.84813935667543
"Minneapolis, MN",65.69775907891952
"Newark, NJ",63.94292580873886
"New York, NY",63.82026383106521
"Kodiak Island, AK",58.047038911732805
"Charlotte, NC",57.33583186235795
"Salt Lake City, UT",54.90803619279188
"Philadelphia, PA",52.39973548753514
"Louisville, KY",50.4236973273301
"Memphis, TN",49.87670555448609
"San Francisco, CA",48.38346281652451
"Juneau, AK",46.00983771438981
"Nashville, TN",42.73366012777134
"Fort Lauderdale, FL",42.71805905514981
"Tampa, FL",41.49965277568317
"Portland, OR",41.32011370137255
"Ketchikan, AK",41.07257281863509
"Boston, MA",37.54497212619024
"Cincinnati, OH",37.50673002175191
"Austin, TX",36.222749418203065
"Indianapolis, IN",35.80883523921011
"Ontario, CA",35.35832698863851
"Nome, AK",34.65577808456998
"Baltimore, MD",33.892211789203124
"Oakland, CA",33.16090112998891
"St. Louis, MO",31.361031438930585
"Kotzebue, AK",28.93069127787308
"San Diego, CA",28.914670395685825
"New Orleans, LA",28.41893763252533
"Dallas, TX",27.001794728235538
"Dillingham, AK",26.343721465226455
"Sacramento, CA",25.623747794676877
"Fort Myers, FL",25.286854430995888
"Raleigh/Durham, NC",24.40180164956057
"Pittsburgh, PA",23.934208240533813
"Kansas City, MO",23.66846260496855
"King Salmon, AK",22.887106859782556
"Honolulu, HI",22.793497855836172
"Aniak, AK",22.075832390955153
"San Antonio, TX",21.295421541393214
"Kodiak, AK",20.587261832186943
"San Jose, CA",20.39202543116701
"Columbus, OH",20.106555196512012
"Cleveland, OH",19.46553771639135
"San Juan, PR",18.751050355788315
"Santa Ana, CA",18.70295840076913
"West Palm Beach/Palm Beach, FL",17.67819046012221
"Milwaukee, WI",17.599382606342733
"Burbank, CA",17.497046567618696
"Van Nuys, CA",17.322269243572688
"Reno, NV",17.32197656100643
"Sitka, AK",17.309170338028814
"El Paso, TX",16.939755661815358
"Sanford, FL",16.542259259953642
"Jacksonville, FL",16.304442489484977
"Spokane, WA",16.00361031108993
"Unalakleet, AK",15.770426594191044
"Boise, ID",15.350394931366257
"Teterboro, NJ",15.069521279761945
"Unalaska, AK",14.802621374931409
"Albuquerque, NM",13.787024088003143
"St. Petersburg, FL",13.499165155375167
"Emmonak, AK",13.010632070090573
"Galena, AK",12.94799315089024
"Kahului, HI",12.915839236657003
"Oklahoma City, OK",12.881627968419638
"Hartford, CT",12.881223297390813
"Sarasota/Bradenton, FL",12.773243921444461
"Omaha, NE",12.768269357337196
"Rockford, IL",12.469872244917083
"Buffalo, NY",12.29567880547413
"St. Mary's, AK",12.176547001028398
"White Plains, NY",12.159725431707116
"Iliamna, AK",11.378459503758746
"Charleston, SC",11.161652471483599
"Richmond, VA",11.158281628430418
"Tulsa, OK",10.477997483270904
"Norfolk, VA",10.314331023826119
"Cold Bay, AK",10.313704823498705
"Tok, AK",10.24642395015446
"Deadhorse, AK",10.096035289059467
"Barrow, AK",10.082195238565198
"Bozeman, MT",10.06715129605956
"Des Moines, IA",10.027736850743477
"Tucson, AZ",9.47447955704859
"McGrath, AK",9.183707357437873
"Boulder City, NV",9.103976087909716
"Kona, HI",9.093339931003204
"Grand Rapids, MI",9.043618230506379
"Palm Springs, CA",8.791336752842003
"Gulkana, AK",8.60890395945093
"Kenai, AK",8.48627204752807
"Greensboro/High Point, NC",8.370089604730437
"Madison, WI",8.18070865512521
"Syracuse, NY",8.148524670325347
"Hawthorne, CA",8.102601872546337
"Zachar Bay, AK",7.924812524750177
"Huslia, AK",7.842940443245743
"Wichita, KS",7.822515440380693
"Punta Gorda, FL",7.8057166015527635
"Fort Yukon, AK",7.765790709942892
"Saipan, TT",7.659738115030322
"Little Rock, AR",7.641204253044167
"Fresno, CA",7.6383506704787605
"Kaltag, AK",7.591666934902764
"Knoxville, TN",7.549831102415444
"Homer, AK",7.515027178874879
"Long Beach, CA",7.501490480656738
"Nulato, AK",7.32347474611222
"Harrisburg, PA",7.212448786297264
"Rochester, NY",7.2112794209027005
"Providence, RI",7.037568887550294
"Birmingham, AL",7.003895986544032
"Colorado Springs, CO",6.982153214264219
"Billings, MT",6.9416072685514365
"Petersburg, AK",6.8394458896826755
"Columbia, SC",6.798899905710658
"Greer, SC",6.77147436461471
"Seal Bay, AK",6.6941586419605725
"Westerly, RI",6.6824520638027805
"Santa Barbara, CA",6.6036870315600895
"San Bernardino, CA",6.549321135694607
"Cedar Rapids/Iowa City, IA",6.455543502330271
"Gulfport/Biloxi, MS",6.241208897696991
"Savannah, GA",6.213597177042903
"Laredo, TX",6.197450598508408
"New Stuyahok, AK",6.000456632504498
"Smyrna, TN",5.928581663657356
"Fargo, ND",5.914010303783362
"Sioux Falls, SD",5.8965973871994315
"Venetie, AK",5.8724310228833945
"Eugene, OR",5.799514632711032
"Ruby, AK",5.746349493282325
"Eek, AK",5.7355861675775905
"Pilot Station, AK",5.727711208368281
"Noorvik, AK",5.70937912280716
"Klawock, AK",5.698009026759731
"Port Heiden, AK",5.622461663504703
"Pensacola, FL",5.609201805292581
"Albany, NY",5.574948700788401
"St. Michael, AK",5.532702094031443
"Kasigluk, AK",5.448248842379311
"Atlantic City, NJ",5.386348755284986
"Point Hope, AK",5.36250061539491
"Charlotte Amalie, VI",5.295548689267408
"Red Dog, AK",5.27221410359298
"Huntsville, AL",5.252379939702907
"Gustavus, AK",5.242491757399592
"Shreveport, LA",5.237771926407662
"Buckland, AK",5.227941656752759
"St. Paul, AK",5.223107925443406
"Uganik, AK",5.1547006577901895
"Aspen, CO",5.116632149178149
"Arctic Village, AK",5.095618596563962
"Lihue, HI",5.062957756907088
"Harlingen/San Benito, TX",5.047701098309354
"Fayetteville, AR",5.046257199809394
"Bedford, MA",5.045066114844476
"Guam, TT",5.043555801575751
"Grand Junction, CO",5.029535231503018
"Alakanuk, AK",4.9616722453082325
"Fort Wayne, IN",4.947275442906002
"Noatak, AK",4.912568536558571
"Yakutat, AK",4.892150169850989
"Grayling, AK",4.877953025895192
"Tuntutuliak, AK",4.84664203149227
"Medford, OR",4.831904143675739
"Myrtle Beach, SC",4.799090217884159
"Nunapitchuk, AK",4.786200318936348
"Larsen Bay, AK",4.777482543771418
"Atmautluak, AK",4.7541383069453325
"St. George Island, AK",4.742648023815186
"Amook Bay, AK",4.694174102149221
"Boca Raton, FL",4.656928184379129
"Koliganek, AK",4.652846857757727
"Ambler, AK",4.622431322272495
